concept_id;level;level_name;label_fr;label_en;definition_fr;definition_en;source_biblio;parent_id;path_ids;path_labels;in_site;in_zthes;source_authority;scheme_url;n_children;n_synonyms;n_related;has_definition
311;3;sous_groupe;ENVIRONNEMENT POLITIQUE;POLITICAL ENVIRONMENT;;;;31;3 > 31 > 311;Les Environnements de l'entreprise > Politique > ENVIRONNEMENT POLITIQUE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_311.html;41;0;0;0
321;3;sous_groupe;DROIT;LAW;;;;32;3 > 32 > 321;Les Environnements de l'entreprise > Droit > DROIT;1;1;zthes;https://aciege.org/Schm/Fra/FRA_321.html;43;0;0;0
322;3;sous_groupe;DROIT COMMERCIAL;COMMERCIAL LAW;;;;32;3 > 32 > 322;Les Environnements de l'entreprise > Droit > DROIT COMMERCIAL;1;1;zthes;https://aciege.org/Schm/Fra/FRA_322.html;32;0;0;0
323;3;sous_groupe;DROIT CIVIL;CIVIL LAW;;;;32;3 > 32 > 323;Les Environnements de l'entreprise > Droit > DROIT CIVIL;1;1;zthes;https://aciege.org/Schm/Fra/FRA_323.html;43;0;0;0
324;3;sous_groupe;DROIT SOCIAL;SOCIAL LAW;;;;32;3 > 32 > 324;Les Environnements de l'entreprise > Droit > DROIT SOCIAL;1;1;zthes;https://aciege.org/Schm/Fra/FRA_324.html;22;0;0;0
331;3;sous_groupe;THEORIE ECONOMIQUE;ECONOMIC THEORY;;;;33;3 > 33 > 331;Les Environnements de l'entreprise > Economie > THEORIE ECONOMIQUE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_331.html;42;0;0;0
332;3;sous_groupe;ECONOMIE POLITIQUE;POLITICAL ECONOMY;;;;33;3 > 33 > 332;Les Environnements de l'entreprise > Economie > ECONOMIE POLITIQUE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_332.html;60;0;0;0
333;3;sous_groupe;ECONOMIE INTERNATIONALE;INTERNATIONAL ECONOMY;;;;33;3 > 33 > 333;Les Environnements de l'entreprise > Economie > ECONOMIE INTERNATIONALE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_333.html;30;0;0;0
334;3;sous_groupe;FISCALITE;TAXATION;;;;33;3 > 33 > 334;Les Environnements de l'entreprise > Economie > FISCALITE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_334.html;23;0;0;0
335;3;sous_groupe;BANQUE ET MONNAIE;BANKING AND CURRENCY;;;;33;3 > 33 > 335;Les Environnements de l'entreprise > Economie > BANQUE ET MONNAIE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_335.html;53;0;0;0
