concept_id;label_fr;synonym;lang;relation;source
213_97;DISQUE MAGNETIQUE;Magnetic disk drive;en;altLabel;zthes_UF
213_98;DISQUE OPTIQUE;CD-ROM;fr;altLabel;site_employe_pour
213_98;DISQUE OPTIQUE;Cédérom;fr;altLabel;site_employe_pour
213_98;DISQUE OPTIQUE;DVD;fr;altLabel;site_employe_pour
213_98;DISQUE OPTIQUE;Disque compact;fr;altLabel;site_employe_pour
213_98;DISQUE OPTIQUE;Disque optique numérique;fr;altLabel;site_employe_pour
213_98;DISQUE OPTIQUE;DVD;en;altLabel;zthes_UF
213_98;DISQUE OPTIQUE;Compact disc read-only memory;en;altLabel;zthes_UF
213_98;DISQUE OPTIQUE;CD Rom;en;altLabel;zthes_UF
213_98;DISQUE OPTIQUE;Compact disc;en;altLabel;zthes_UF
213_98;DISQUE OPTIQUE;Digital optical disc;en;altLabel;zthes_UF
213_99;CARTE A MEMOIRE;Carte magnétique;fr;altLabel;site_employe_pour
213_99;CARTE A MEMOIRE;Carte à puce;fr;altLabel;site_employe_pour
213_99;CARTE A MEMOIRE;Télécarte;fr;altLabel;site_employe_pour
213_99;CARTE A MEMOIRE;Chip card;en;altLabel;zthes_UF
213_99;CARTE A MEMOIRE;Magnetic card;en;altLabel;zthes_UF
213_99;CARTE A MEMOIRE;Phone card;en;altLabel;zthes_UF
222_17;DISCOURS;Argumentation;fr;altLabel;site_employe_pour
222_17;DISCOURS;Rhétorique;fr;altLabel;site_employe_pour
222_17;DISCOURS;Rhetoric;en;altLabel;zthes_UF
222_17;DISCOURS;Argumentation;en;altLabel;zthes_UF
222_22;COMMUNICATION NON VERBALE;Synergologie;fr;altLabel;site_employe_pour
222_22;COMMUNICATION NON VERBALE;Synergology;en;altLabel;zthes_UF
222_27;EXPOSE;Commentaire;fr;altLabel;site_employe_pour
222_27;EXPOSE;Commentary;en;altLabel;zthes_UF
222_30;SUGGESTION;Boîte à idées;fr;altLabel;site_employe_pour
222_30;SUGGESTION;Suggestion box;en;altLabel;zthes_UF
222_45;NEGOCIATION;Théorie de la négociation;fr;altLabel;site_employe_pour
222_45;NEGOCIATION;Negotiation theory;en;altLabel;zthes_UF
222_53;COMMUNICATION INTERNE;Marketing interne;fr;altLabel;site_employe_pour
222_53;COMMUNICATION INTERNE;Internal marketing;en;altLabel;zthes_UF
222_55;COMMUNICATION;Communication humaine;fr;altLabel;site_employe_pour
222_55;COMMUNICATION;Théorie de la communication;fr;altLabel;site_employe_pour
222_55;COMMUNICATION;Communication theory;en;altLabel;zthes_UF
222_55;COMMUNICATION;Human communication;en;altLabel;zthes_UF
222_59;REUNION;Réunion d'information;fr;altLabel;site_employe_pour
222_59;REUNION;Informational meeting;en;altLabel;zthes_UF
222_62;COMMUNICATION INSTITUTIONNELLE;Publicité institutionnelle;fr;altLabel;site_employe_pour
222_62;COMMUNICATION INSTITUTIONNELLE;Institutional advertising;en;altLabel;zthes_UF
222_63;POLITIQUE DE COMMUNICATION;Accueil;fr;altLabel;site_employe_pour
222_63;POLITIQUE DE COMMUNICATION;Reception;en;altLabel;zthes_UF
222_97;VIDEO;Vidéoclip;fr;altLabel;site_employe_pour
222_97;VIDEO;Vidéodisque;fr;altLabel;site_employe_pour
222_97;VIDEO;Vidéofilm;fr;altLabel;site_employe_pour
222_97;VIDEO;Diffusion en continu;fr;altLabel;zthes_UF
222_97;VIDEO;Streaming;en;altLabel;zthes_UF
222_97;VIDEO;Video clip;en;altLabel;zthes_UF
222_97;VIDEO;Video disk;en;altLabel;zthes_UF
222_97;VIDEO;Video film;en;altLabel;zthes_UF
223_07;DISTORSION DE L'INFORMATION;Désinformation;fr;altLabel;site_employe_pour
223_07;DISTORSION DE L'INFORMATION;Rumeur;fr;altLabel;site_employe_pour
223_07;DISTORSION DE L'INFORMATION;Misinformation;en;altLabel;zthes_UF
223_07;DISTORSION DE L'INFORMATION;Rumor;en;altLabel;zthes_UF
223_12;DOCUMENT NUMERIQUE;Document électronique;fr;altLabel;site_employe_pour
223_12;DOCUMENT NUMERIQUE;Electronic document;en;altLabel;zthes_UF
223_13;DOCUMENT;Littérature grise;fr;altLabel;site_employe_pour
223_13;DOCUMENT;Publication;fr;altLabel;site_employe_pour
223_13;DOCUMENT;Grey literature;en;altLabel;zthes_UF
223_13;DOCUMENT;Publication;en;altLabel;zthes_UF
223_15;SOURCE DE L'INFORMATION;Source des données;fr;altLabel;site_employe_pour
223_15;SOURCE DE L'INFORMATION;Data source;en;altLabel;zthes_UF
223_16;ORGANISME D'INFORMATION;Archives;fr;altLabel;site_employe_pour
223_16;ORGANISME D'INFORMATION;Bibliothèque;fr;altLabel;site_employe_pour
223_16;ORGANISME D'INFORMATION;Centre de documentation;fr;altLabel;site_employe_pour
223_16;ORGANISME D'INFORMATION;Médiathèque;fr;altLabel;site_employe_pour
223_16;ORGANISME D'INFORMATION;Archives;en;altLabel;zthes_UF
223_16;ORGANISME D'INFORMATION;Library;en;altLabel;zthes_UF
223_16;ORGANISME D'INFORMATION;Documentation center;en;altLabel;zthes_UF
223_16;ORGANISME D'INFORMATION;Media library;en;altLabel;zthes_UF
223_35;RECHERCHE DE L'INFORMATION;Recherche documentaire;fr;altLabel;site_employe_pour
223_35;RECHERCHE DE L'INFORMATION;Documentary research;en;altLabel;zthes_UF
223_37;TRANSMISSION DE L'INFORMATION;DSI;fr;altLabel;site_employe_pour
223_37;TRANSMISSION DE L'INFORMATION;Diffusion sélective de l'information;fr;altLabel;site_employe_pour
223_37;TRANSMISSION DE L'INFORMATION;Selective dissemination of information;en;altLabel;zthes_UF
223_37;TRANSMISSION DE L'INFORMATION;SDI;en;altLabel;zthes_UF
223_42;LECTURE OPTIQUE;Code barre;fr;altLabel;site_employe_pour
223_42;LECTURE OPTIQUE;Scanner;fr;altLabel;site_employe_pour
223_42;LECTURE OPTIQUE;Bar code;en;altLabel;zthes_UF
223_42;LECTURE OPTIQUE;Scanner;en;altLabel;zthes_UF
223_51;ANALYSE DE L'INFORMATION;Analyse documentaire;fr;altLabel;site_employe_pour
223_51;ANALYSE DE L'INFORMATION;Indexation;fr;altLabel;site_employe_pour
223_51;ANALYSE DE L'INFORMATION;Langage documentaire;fr;altLabel;site_employe_pour
223_51;ANALYSE DE L'INFORMATION;Thésaurus;fr;altLabel;site_employe_pour
223_51;ANALYSE DE L'INFORMATION;Subject analysis;en;altLabel;zthes_UF
223_51;ANALYSE DE L'INFORMATION;Indexing;en;altLabel;zthes_UF
223_51;ANALYSE DE L'INFORMATION;Documentary language;en;altLabel;zthes_UF
223_51;ANALYSE DE L'INFORMATION;Thesaurus;en;altLabel;zthes_UF
223_53;ENREGISTREMENT DE L'INFORMATION;Catalogage;fr;altLabel;site_employe_pour
223_53;ENREGISTREMENT DE L'INFORMATION;Codage de l'information;fr;altLabel;site_employe_pour
223_53;ENREGISTREMENT DE L'INFORMATION;Cryptage;fr;altLabel;site_employe_pour
223_53;ENREGISTREMENT DE L'INFORMATION;Cataloguing;en;altLabel;zthes_UF
223_53;ENREGISTREMENT DE L'INFORMATION;Information coding;en;altLabel;zthes_UF
223_53;ENREGISTREMENT DE L'INFORMATION;Encryption;en;altLabel;zthes_UF
223_55;SCIENCE DE L'INFORMATION;Chaîne documentaire;fr;altLabel;site_employe_pour
223_55;SCIENCE DE L'INFORMATION;Documentation;fr;altLabel;site_employe_pour
223_55;SCIENCE DE L'INFORMATION;Traitement de l'information;fr;altLabel;site_employe_pour
223_55;SCIENCE DE L'INFORMATION;Information processing;en;altLabel;zthes_UF
223_55;SCIENCE DE L'INFORMATION;Documentary chain;en;altLabel;zthes_UF
223_55;SCIENCE DE L'INFORMATION;Documentation;en;altLabel;zthes_UF
223_62;RFID;Radio frequency identification;fr;altLabel;site_employe_pour
223_62;RFID;Radio frequency identification;en;altLabel;zthes_UF
224_13;MESSAGERIE ELECTRONIQUE;Courrier électronique;fr;altLabel;site_employe_pour
224_13;MESSAGERIE ELECTRONIQUE;E-mail;fr;altLabel;site_employe_pour
224_13;MESSAGERIE ELECTRONIQUE;Electronic mail;en;altLabel;zthes_UF
224_13;MESSAGERIE ELECTRONIQUE;E-mail;en;altLabel;zthes_UF
224_21;TELEPHONIE;Messagerie vocale;fr;altLabel;site_employe_pour
224_21;TELEPHONIE;Téléphone;fr;altLabel;site_employe_pour
