categorie;theme;groupe_numerologie;groupe_titre;sous_groupe_numerologie;sous_groupe;lien_sous_groupe_schema;lien_sous_groupe_liste
4;Listes outils;41;Listes;412;TYPE DE DOCUMENT;;https://aciege.org/CS/Fra/FRA_412.html
4;Listes outils;41;Listes;413;ORGANISATION INTERNATIONALE;;https://aciege.org/CS/Fra/FRA_413.html
4;Listes outils;41;Listes;414;ORGANISME FRANCAIS;;https://aciege.org/CS/Fra/FRA_414.html
4;Listes outils;41;Listes;415;ZONE GEOPOLITIQUE;;https://aciege.org/CS/Fra/FRA_415.html
4;Listes outils;41;Listes;416;ACCORD INTERNATIONAL;;https://aciege.org/CS/Fra/FRA_416.html
4;Listes outils;42;Secteurs d'activité;420;AGROALIMENTAIRE SECTEUR;https://aciege.org/Schm/Fra/FRA_420.html;https://aciege.org/CS/Fra/FRA_420.html
4;Listes outils;42;Secteurs d'activité;421;EXPLOITATION DU MILIEU NATUREL SECTEUR;https://aciege.org/Schm/Fra/FRA_421.html;https://aciege.org/CS/Fra/FRA_421.html
4;Listes outils;42;Secteurs d'activité;422;TRAVAIL DES METAUX SECTEUR;https://aciege.org/Schm/Fra/FRA_422.html;https://aciege.org/CS/Fra/FRA_422.html
4;Listes outils;42;Secteurs d'activité;423;ELECTRICITE ET ELECTRONIQUE SECTEUR;https://aciege.org/Schm/Fra/FRA_423.html;https://aciege.org/CS/Fra/FRA_423.html
4;Listes outils;42;Secteurs d'activité;424;CHIMIE SECTEUR;https://aciege.org/Schm/Fra/FRA_424.html;https://aciege.org/CS/Fra/FRA_424.html
4;Listes outils;42;Secteurs d'activité;425;INDUSTRIE DE TRANSFORMATION SECTEUR;https://aciege.org/Schm/Fra/FRA_425.html;https://aciege.org/CS/Fra/FRA_425.html
4;Listes outils;42;Secteurs d'activité;426;INDUSTRIES DIVERSES SECTEUR;https://aciege.org/Schm/Fra/FRA_426.html;https://aciege.org/CS/Fra/FRA_426.html
