sous_groupe;descripteur_code;descripteur;relation;cible_code;cible_libelle;cible_url
414;414_35;CERTU;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_35;CERTU;employe_pour;Ce_2595;Centre d'études sur les réseaux les transports l'urbanisme et les constructions publiques;https://aciege.org/Dct/Fra/Ce_2595.html
414;414_26;CGSP;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_26;CGSP;employe_pour;CE_2549;CERC;https://aciege.org/Dct/Fra/CE_2549.html
414;414_26;CGSP;employe_pour;Co_2681;Conseil de l'emploi des revenus et de la cohésion sociale;https://aciege.org/Dct/Fra/Co_2681.html
414;414_31;CHAMBRE DE COMMERCE ET D'INDUSTRIE;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_31;CHAMBRE DE COMMERCE ET D'INDUSTRIE;employe_pour;CC_2547;CCI;https://aciege.org/Dct/Fra/CC_2547.html
414;414_31;CHAMBRE DE COMMERCE ET D'INDUSTRIE;employe_pour;CR_2552;CRCI;https://aciege.org/Dct/Fra/CR_2552.html
414;414_31;CHAMBRE DE COMMERCE ET D'INDUSTRIE;employe_pour;Ch_2605;Chambre régionale de commerce et d'industrie;https://aciege.org/Dct/Fra/Ch_2605.html
414;414_16;CNRS;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_16;CNRS;employe_pour;Ce_2591;Centre National de la Recherche Scientifique;https://aciege.org/Dct/Fra/Ce_2591.html
414;414_18;COFACE;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_18;COFACE;employe_pour;Co_2648;Compagnie Française d'Assurance pour le Commerce Extérieur;https://aciege.org/Dct/Fra/Co_2648.html
414;414_29;CONSEIL ECONOMIQUE ET SOCIAL;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_36;CREDOC;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_36;CREDOC;employe_pour;Ce_2601;Centre de recherche pour l'étude et l'observation des conditions de vie;https://aciege.org/Dct/Fra/Ce_2601.html
414;414_37;FNEGE;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_37;FNEGE;employe_pour;Fo_2894;Fondation nationale pour la gestion des entreprises;https://aciege.org/Dct/Fra/Fo_2894.html
414;414_19;INC;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_19;INC;employe_pour;In_3070;Institut National de la Consommation;https://aciege.org/Dct/Fra/In_3070.html
414;414_27;INED;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_27;INED;employe_pour;In_3069;Institut National d'Etudes Démographiques;https://aciege.org/Dct/Fra/In_3069.html
414;414_20;INIST;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_20;INIST;employe_pour;In_3075;Institut de l'Information Scientifique et Technique;https://aciege.org/Dct/Fra/In_3075.html
414;414_21;INPI;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_21;INPI;employe_pour;In_3071;Institut National de la Propriété Industrielle;https://aciege.org/Dct/Fra/In_3071.html
